split_seed,target,inner_validation_fold,configuration_id,pipeline_key,candidate_kind,feature_set,selector,selector_parameter,branch,branch_kind,reference_model,training_patients,validation_patients,selected_columns,fit_seconds,baseline_macro_f1,baseline_priority_recall,macro_f1,balanced_accuracy,accuracy,recall_class_0,recall_class_1,recall_class_2,priority_recall,delta_macro_f1,delta_priority_recall
42,stage_1,0,ENG_01,engineering__INT_GAIT_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_GAIT_X_POSTURAL_STABILITY,interaction,extra_trees,832,208,48,0.06194712499927846,0.668053266357952,0.5846153846153846,0.6855385257011781,0.6923076923076923,0.7211538461538461,0.7692307692307693,0.6153846153846154,,0.6153846153846154,0.01748525934322609,0.03076923076923077
42,stage_1,0,ENG_02,engineering__INT_MOTOR_X_COGNITION,engineered_representation,final_26,none,all,INT_MOTOR_X_COGNITION,interaction,extra_trees,832,208,48,0.062101374998746905,0.668053266357952,0.5846153846153846,0.6831932773109244,0.6881118881118882,0.7211538461538461,0.7762237762237763,0.6,,0.6,0.01514001095297235,0.01538461538461533
42,stage_1,0,ENG_03,engineering__INT_DURATION_X_MOTOR,engineered_representation,final_26,none,all,INT_DURATION_X_MOTOR,interaction,extra_trees,832,208,48,0.06153533299948322,0.668053266357952,0.5846153846153846,0.6963820248149306,0.7034965034965035,0.7307692307692307,0.7762237762237763,0.6307692307692307,,0.6307692307692307,0.028328758456978576,0.0461538461538461
42,stage_1,0,ENG_04,engineering__INT_MOBILITY_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_MOBILITY_X_POSTURAL_STABILITY,interaction,extra_trees,832,208,48,0.06167433299924596,0.668053266357952,0.5846153846153846,0.6764992750757876,0.6804195804195805,0.7163461538461539,0.7762237762237763,0.5846153846153846,,0.5846153846153846,0.008446008717835518,0.0
42,stage_1,0,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_80,pca,extra_trees,832,208,46,0.07040266599869938,0.668053266357952,0.5846153846153846,0.6807452101196148,0.6839160839160839,0.7211538461538461,0.7832167832167832,0.5846153846153846,,0.5846153846153846,0.012691943761662716,0.0
42,stage_1,0,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_90,pca,extra_trees,832,208,47,0.06177708299946971,0.668053266357952,0.5846153846153846,0.6629028401392173,0.6650349650349651,0.7067307692307693,0.7762237762237763,0.5538461538461539,,0.5538461538461539,-0.005150426218734738,-0.03076923076923077
42,stage_1,0,ENG_07,engineering__PCA_PART_I_PATIENT_3_95,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_95,pca,extra_trees,832,208,47,0.060769334002543474,0.668053266357952,0.5846153846153846,0.6629028401392173,0.6650349650349651,0.7067307692307693,0.7762237762237763,0.5538461538461539,,0.5538461538461539,-0.005150426218734738,-0.03076923076923077
42,stage_1,1,ENG_01,engineering__INT_GAIT_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_GAIT_X_POSTURAL_STABILITY,interaction,extra_trees,832,208,48,0.07602845799920033,0.6743457839409528,0.6923076923076923,0.687218045112782,0.7062937062937062,0.7115384615384616,0.7202797202797203,0.6923076923076923,,0.6923076923076923,0.012872261171829158,0.0
42,stage_1,1,ENG_02,engineering__INT_MOTOR_X_COGNITION,engineered_representation,final_26,none,all,INT_MOTOR_X_COGNITION,interaction,extra_trees,832,208,48,0.07619337500000256,0.6743457839409528,0.6923076923076923,0.6725228039485194,0.6916083916083916,0.6971153846153846,0.7062937062937062,0.676923076923077,,0.676923076923077,-0.0018229799924334156,-0.01538461538461533
42,stage_1,1,ENG_03,engineering__INT_DURATION_X_MOTOR,engineered_representation,final_26,none,all,INT_DURATION_X_MOTOR,interaction,extra_trees,832,208,48,0.06483079100144096,0.6743457839409528,0.6923076923076923,0.6767919799498747,0.6951048951048951,0.7019230769230769,0.7132867132867133,0.676923076923077,,0.676923076923077,0.0024461960089219303,-0.01538461538461533
