split_seed,inner_validation_fold,training_patients,feature,descriptive_name,falls_class,class_label,class_patients,observed_n,missing_n,mean,standard_deviation,median,q1,q3
0,1,582,NP3GAIT_COMBINED_MAX,"Part III gait, combined states",1,rare fall,127,127,0,1.5748031496062993,0.7920205729187273,1.0,1.0,2.0
0,1,582,NP3GAIT_COMBINED_MAX,"Part III gait, combined states",2,recurrent fall,57,57,0,2.1052631578947367,0.9762210399274301,2.0,1.0,3.0
0,1,582,NP3PSTBL_COMBINED_MAX,"Part III postural stability, combined states",0,no fall,398,398,0,0.4321608040201005,0.8302655666138641,0.0,0.0,1.0
0,1,582,NP3PSTBL_COMBINED_MAX,"Part III postural stability, combined states",1,rare fall,127,127,0,0.9921259842519685,1.2051217615629042,1.0,0.0,1.5
0,1,582,NP3PSTBL_COMBINED_MAX,"Part III postural stability, combined states",2,recurrent fall,57,57,0,1.5263157894736843,1.3377121081198775,1.0,0.0,3.0
0,1,582,NHY_COMBINED_MAX,"Hoehn–Yahr stage, combined states",0,no fall,398,398,0,1.9974874371859297,0.578797257755124,2.0,2.0,2.0
0,1,582,NHY_COMBINED_MAX,"Hoehn–Yahr stage, combined states",1,rare fall,127,127,0,2.2913385826771653,0.7027184879742617,2.0,2.0,3.0
0,1,582,NHY_COMBINED_MAX,"Hoehn–Yahr stage, combined states",2,recurrent fall,57,57,0,2.824561403508772,0.9281857691513795,3.0,2.0,3.0
0,1,582,NP3TOT_COMBINED_MAX,"MDS-UPDRS Part III motor total, combined states",0,no fall,398,398,0,31.582914572864322,13.482404226460552,30.0,22.0,39.75
0,1,582,NP3TOT_COMBINED_MAX,"MDS-UPDRS Part III motor total, combined states",1,rare fall,127,127,0,39.45669291338583,15.150963040013988,39.0,29.0,49.0
0,1,582,NP3TOT_COMBINED_MAX,"MDS-UPDRS Part III motor total, combined states",2,recurrent fall,57,57,0,45.473684210526315,14.785496347963402,45.0,34.0,58.0
0,1,582,NP4TOT,MDS-UPDRS Part IV complications total,0,no fall,398,288,110,3.357638888888889,3.6541052253683475,3.0,0.0,6.0
0,1,582,NP4TOT,MDS-UPDRS Part IV complications total,1,rare fall,127,102,25,5.117647058823529,4.558300268690701,4.0,0.25,8.0
0,1,582,NP4TOT,MDS-UPDRS Part IV complications total,2,recurrent fall,57,56,1,8.321428571428571,4.624469081496197,9.0,5.0,11.0
0,1,582,NP1CNST,Constipation severity,0,no fall,398,398,0,1.1306532663316582,1.0300351295649681,1.0,0.0,2.0
0,1,582,NP1CNST,Constipation severity,1,rare fall,127,127,0,1.68503937007874,1.059355804562338,2.0,1.0,2.5
0,1,582,NP1CNST,Constipation severity,2,recurrent fall,57,57,0,1.9824561403508771,1.1416033222461333,2.0,1.0,3.0
0,2,582,Years_since_PD_diagnosis,Years since PD diagnosis,0,no fall,398,398,0,4.808175029837759,4.031299705900739,3.162217659137577,2.1683778234086244,5.980150581793293
0,2,582,Years_since_PD_diagnosis,Years since PD diagnosis,1,rare fall,127,127,0,6.90688612588724,4.764817974325758,5.66735112936345,2.543463381245722,12.082135523613964
0,2,582,Years_since_PD_diagnosis,Years since PD diagnosis,2,recurrent fall,57,57,0,9.943057506874649,4.089570684604458,10.915811088295689,6.915811088295688,12.999315537303216
0,2,582,Age,Age at landmark,0,no fall,398,398,0,64.91708542713567,9.90715892842071,66.0,59.0,72.0
0,2,582,Age,Age at landmark,1,rare fall,127,127,0,69.85826771653544,8.394749312695234,71.0,64.5,76.0
0,2,582,Age,Age at landmark,2,recurrent fall,57,57,0,69.33333333333333,8.864724097981465,71.0,64.0,75.0
0,2,582,MCATOT,MoCA total score,0,no fall,398,398,0,27.28643216080402,2.533079255179059,28.0,26.0,29.0
0,2,582,MCATOT,MoCA total score,1,rare fall,127,127,0,25.834645669291337,4.160974739907914,27.0,25.0,29.0
0,2,582,MCATOT,MoCA total score,2,recurrent fall,57,57,0,24.912280701754387,5.7547517687385525,27.0,23.0,29.0
0,2,582,FRZGT12M,Freezing of gait severity,0,no fall,398,380,18,0.33157894736842103,0.7759937923608214,0.0,0.0,0.0
0,2,582,FRZGT12M,Freezing of gait severity,1,rare fall,127,114,13,0.7105263157894737,1.0107710559864362,0.0,0.0,1.0
0,2,582,FRZGT12M,Freezing of gait severity,2,recurrent fall,57,53,4,1.9811320754716981,1.4208687217784417,2.0,1.0,3.0
0,2,582,SCAU14,Lightheaded after standing,0,no fall,398,398,0,0.6080402010050251,0.7458605689431773,0.0,0.0,1.0
0,2,582,SCAU14,Lightheaded after standing,1,rare fall,127,127,0,0.7874015748031497,0.8225967522564737,1.0,0.0,1.0
0,2,582,SCAU14,Lightheaded after standing,2,recurrent fall,57,57,0,1.2280701754385965,0.9066725637431693,1.0,1.0,2.0
0,2,582,SCAU16,Fainting,0,no fall,398,398,0,0.0829145728643216,0.29378027351576186,0.0,0.0,0.0
0,2,582,SCAU16,Fainting,1,rare fall,127,127,0,0.14173228346456693,0.3501566417916078,0.0,0.0,0.0
0,2,582,SCAU16,Fainting,2,recurrent fall,57,57,0,0.21052631578947367,0.5256574830378465,0.0,0.0,0.0
0,2,582,GDS_TOTAL,GDS-15 depression total,0,no fall,398,398,0,2.2386934673366836,2.4050346649381584,1.5,1.0,3.0
