split_seed,inner_validation_fold,training_patients,feature,descriptive_name,falls_class,class_label,category,patients,percent_within_class
0,3,583,DOPTHERST,Dopaminergic therapy started,2,recurrent fall,<Missing>,17,30.4
0,3,583,DOPTHERST,Dopaminergic therapy started,2,recurrent fall,No,4,7.1
0,3,583,DOPTHERST,Dopaminergic therapy started,2,recurrent fall,Yes,35,62.5
0,3,583,FEATPOSHYP,Postural hypotension clinical feature,0,no fall,No,261,65.4
0,3,583,FEATPOSHYP,Postural hypotension clinical feature,0,no fall,Uncertain,8,2.0
0,3,583,FEATPOSHYP,Postural hypotension clinical feature,0,no fall,Yes,130,32.6
0,3,583,FEATPOSHYP,Postural hypotension clinical feature,1,rare fall,No,78,60.9
0,3,583,FEATPOSHYP,Postural hypotension clinical feature,1,rare fall,Uncertain,2,1.6
0,3,583,FEATPOSHYP,Postural hypotension clinical feature,1,rare fall,Yes,48,37.5
0,3,583,FEATPOSHYP,Postural hypotension clinical feature,2,recurrent fall,No,24,42.9
0,3,583,FEATPOSHYP,Postural hypotension clinical feature,2,recurrent fall,Uncertain,2,3.6
0,3,583,FEATPOSHYP,Postural hypotension clinical feature,2,recurrent fall,Yes,30,53.6
0,3,583,ANYFAMPD,Family history of Parkinson's disease,0,no fall,<Missing>,19,4.8
0,3,583,ANYFAMPD,Family history of Parkinson's disease,0,no fall,No,243,60.9
0,3,583,ANYFAMPD,Family history of Parkinson's disease,0,no fall,Yes,137,34.3
0,3,583,ANYFAMPD,Family history of Parkinson's disease,1,rare fall,<Missing>,11,8.6
0,3,583,ANYFAMPD,Family history of Parkinson's disease,1,rare fall,No,70,54.7
0,3,583,ANYFAMPD,Family history of Parkinson's disease,1,rare fall,Yes,47,36.7
0,3,583,ANYFAMPD,Family history of Parkinson's disease,2,recurrent fall,<Missing>,6,10.7
0,3,583,ANYFAMPD,Family history of Parkinson's disease,2,recurrent fall,No,21,37.5
0,3,583,ANYFAMPD,Family history of Parkinson's disease,2,recurrent fall,Yes,29,51.8
0,3,583,DXTREMOR,Resting tremor at diagnosis,0,no fall,No,77,19.3
0,3,583,DXTREMOR,Resting tremor at diagnosis,0,no fall,Unknown,11,2.8
0,3,583,DXTREMOR,Resting tremor at diagnosis,0,no fall,Yes,311,77.9
0,3,583,DXTREMOR,Resting tremor at diagnosis,1,rare fall,No,21,16.4
0,3,583,DXTREMOR,Resting tremor at diagnosis,1,rare fall,Yes,107,83.6
0,3,583,DXTREMOR,Resting tremor at diagnosis,2,recurrent fall,No,15,26.8
0,3,583,DXTREMOR,Resting tremor at diagnosis,2,recurrent fall,Yes,41,73.2
0,3,583,DXBRADY,Bradykinesia at diagnosis,0,no fall,No,48,12.0
0,3,583,DXBRADY,Bradykinesia at diagnosis,0,no fall,Unknown,27,6.8
0,3,583,DXBRADY,Bradykinesia at diagnosis,0,no fall,Yes,324,81.2
0,3,583,DXBRADY,Bradykinesia at diagnosis,1,rare fall,No,25,19.5
0,3,583,DXBRADY,Bradykinesia at diagnosis,1,rare fall,Unknown,6,4.7
0,3,583,DXBRADY,Bradykinesia at diagnosis,1,rare fall,Yes,97,75.8
0,3,583,DXBRADY,Bradykinesia at diagnosis,2,recurrent fall,No,9,16.1
0,3,583,DXBRADY,Bradykinesia at diagnosis,2,recurrent fall,Unknown,1,1.8
0,3,583,DXBRADY,Bradykinesia at diagnosis,2,recurrent fall,Yes,46,82.1
0,3,583,DOMSIDE,Predominantly affected side at onset,0,no fall,Left,179,44.9
0,3,583,DOMSIDE,Predominantly affected side at onset,0,no fall,Right,209,52.4
0,3,583,DOMSIDE,Predominantly affected side at onset,0,no fall,Symmetric,7,1.8
0,3,583,DOMSIDE,Predominantly affected side at onset,0,no fall,Unknown,4,1.0
0,3,583,DOMSIDE,Predominantly affected side at onset,1,rare fall,Left,52,40.6
0,3,583,DOMSIDE,Predominantly affected side at onset,1,rare fall,Right,73,57.0
0,3,583,DOMSIDE,Predominantly affected side at onset,1,rare fall,Symmetric,2,1.6
0,3,583,DOMSIDE,Predominantly affected side at onset,1,rare fall,Unknown,1,0.8
0,3,583,DOMSIDE,Predominantly affected side at onset,2,recurrent fall,Left,31,55.4
0,3,583,DOMSIDE,Predominantly affected side at onset,2,recurrent fall,Right,24,42.9
