sensitivity_id,split_seed,system,sensitivity_minus_primary_macro_f1,sensitivity_minus_primary_balanced_accuracy,sensitivity_minus_primary_accuracy,sensitivity_minus_primary_macro_auc_ovr,sensitivity_minus_primary_recall_no_fall,sensitivity_minus_primary_recall_rare_fall,sensitivity_minus_primary_recall_recurrent_fall
S02_ON_OFF,17,direct,-0.026122854815556207,-0.027603689450858226,-0.009615384615384692,-0.01536058864187051,0.009345794392523366,-0.05882352941176466,-0.033333333333333326
S02_ON_OFF,17,two_stage,-0.04251788744891155,-0.04135055891515482,-0.019230769230769273,-0.005584423091205548,-0.009345794392523366,-0.01470588235294118,-0.09999999999999998
S02_ON_OFF,18,direct,-0.031117842186337008,-0.03715716816321535,-0.009615384615384581,-0.013928579629116089,0.014018691588784993,-0.05882352941176461,-0.06666666666666665
S02_ON_OFF,18,two_stage,0.0031008830537708754,0.001328568810701869,0.009615384615384692,-0.022375719768091606,0.01869158878504673,-0.014705882352941124,0.0
S02_ON_OFF,19,direct,-0.05103857591496758,-0.06178608515057116,-0.028846153846153855,-0.019046465900354193,-0.01869158878504673,2.7755575615628914e-17,-0.16666666666666663
S02_ON_OFF,19,two_stage,-0.035019226741366705,-0.02964082829393433,-0.012820512820512775,-0.008205116483362862,0.014018691588785104,-0.10294117647058826,0.0
S03_COHORT_1043,0,direct,-0.003024987456325401,-0.009782542300409314,0.0064102564102563875,-0.0019472898211663203,0.01869158878504673,-0.01470588235294118,-0.033333333333333326
S03_COHORT_1043,0,two_stage,0.0,0.0,0.0,-0.0006480460112898712,0.0,0.0,5.551115123125783e-17
S03_COHORT_1043,1,direct,-0.003132257018979012,0.003322949117341656,-0.012820512820512886,-0.00048318804580382846,-0.02336448598130847,5.551115123125783e-17,0.033333333333333326
S03_COHORT_1043,1,two_stage,0.02087962608229249,0.019378779549202862,0.019230769230769162,0.0055340052977163046,0.014018691588784993,0.04411764705882354,0.0
S03_COHORT_1043,2,direct,0.0033626982531430594,-0.003322949117341767,0.012820512820512886,0.014954060393886914,0.02336448598130836,0.0,-0.033333333333333326
S03_COHORT_1043,2,two_stage,-0.008496427117586913,-0.012668743509865132,-0.0064102564102563875,-0.0003735169279714956,-0.004672897196261738,5.551115123125783e-17,-0.033333333333333326
S03_COHORT_1043,3,direct,0.031364722930055544,0.03312564901349946,0.028846153846153855,0.007702075413856813,0.032710280373831835,0.0,0.06666666666666665
S03_COHORT_1043,3,two_stage,0.009036542487246613,0.010054364424897655,0.012820512820512775,0.015443433272699036,0.004672897196261627,0.05882352941176466,-0.033333333333333326
