sensitivity_id,split_seed,system,true_class,predicted_class,patients
S02_ON_OFF,3,two_stage,0,1,34
S02_ON_OFF,3,two_stage,0,2,8
S02_ON_OFF,3,two_stage,1,0,33
S02_ON_OFF,3,two_stage,1,1,26
S02_ON_OFF,3,two_stage,1,2,9
S02_ON_OFF,3,two_stage,2,0,8
S02_ON_OFF,3,two_stage,2,1,15
S02_ON_OFF,3,two_stage,2,2,7
S02_ON_OFF,4,direct,0,0,145
S02_ON_OFF,4,direct,0,1,44
S02_ON_OFF,4,direct,0,2,25
S02_ON_OFF,4,direct,1,0,26
S02_ON_OFF,4,direct,1,1,27
S02_ON_OFF,4,direct,1,2,15
S02_ON_OFF,4,direct,2,0,6
S02_ON_OFF,4,direct,2,1,4
S02_ON_OFF,4,direct,2,2,20
S02_ON_OFF,4,two_stage,0,0,148
S02_ON_OFF,4,two_stage,0,1,46
S02_ON_OFF,4,two_stage,0,2,20
S02_ON_OFF,4,two_stage,1,0,27
S02_ON_OFF,4,two_stage,1,1,27
S02_ON_OFF,4,two_stage,1,2,14
S02_ON_OFF,4,two_stage,2,0,10
S02_ON_OFF,4,two_stage,2,1,3
S02_ON_OFF,4,two_stage,2,2,17
S02_ON_OFF,5,direct,0,0,145
S02_ON_OFF,5,direct,0,1,57
S02_ON_OFF,5,direct,0,2,12
S02_ON_OFF,5,direct,1,0,28
S02_ON_OFF,5,direct,1,1,31
S02_ON_OFF,5,direct,1,2,9
S02_ON_OFF,5,direct,2,0,1
S02_ON_OFF,5,direct,2,1,14
S02_ON_OFF,5,direct,2,2,15
S02_ON_OFF,5,two_stage,0,0,155
S02_ON_OFF,5,two_stage,0,1,45
S02_ON_OFF,5,two_stage,0,2,14
S02_ON_OFF,5,two_stage,1,0,36
S02_ON_OFF,5,two_stage,1,1,26
S02_ON_OFF,5,two_stage,1,2,6
S02_ON_OFF,5,two_stage,2,0,2
S02_ON_OFF,5,two_stage,2,1,16
S02_ON_OFF,5,two_stage,2,2,12
S02_ON_OFF,6,direct,0,0,149
S02_ON_OFF,6,direct,0,1,46
S02_ON_OFF,6,direct,0,2,19
S02_ON_OFF,6,direct,1,0,23
