sensitivity_id,split_seed,system,macro_f1,weighted_f1,accuracy,balanced_accuracy,macro_auc_ovr,recall_no_fall,recall_rare_fall,recall_recurrent_fall
S02_ON_OFF,3,direct,0.48403021277130537,0.6429734424983831,0.6378205128205128,0.4886323376702706,0.7196065801294305,0.7757009345794392,0.3235294117647059,0.36666666666666664
S02_ON_OFF,3,two_stage,0.4761720772649735,0.6567559641330133,0.657051282051282,0.4731415307556044,0.6872516705287038,0.8037383177570093,0.38235294117647056,0.23333333333333334
S02_ON_OFF,4,direct,0.521251600535488,0.6337592392087769,0.6153846153846154,0.5804318612180075,0.7476209384040876,0.677570093457944,0.39705882352941174,0.6666666666666666
S02_ON_OFF,4,two_stage,0.5122025743370773,0.6309278359716955,0.6153846153846154,0.5517714250809358,0.7393306704536636,0.6915887850467289,0.39705882352941174,0.5666666666666667
S02_ON_OFF,5,direct,0.5222246724369223,0.6358487732199072,0.6121794871794872,0.5444841487997069,0.7633920299819241,0.677570093457944,0.45588235294117646,0.5
S02_ON_OFF,5,two_stage,0.49475046894401736,0.6327671456703714,0.6185897435897436,0.5022173355323437,0.7577129939653487,0.7242990654205608,0.38235294117647056,0.4
S02_ON_OFF,6,direct,0.504365284231056,0.6386201677631724,0.6153846153846154,0.548427096695376,0.7493084646573444,0.6962616822429907,0.38235294117647056,0.5666666666666667
S02_ON_OFF,6,two_stage,0.5032472511304247,0.6461730067049176,0.6346153846153846,0.5410512491601002,0.740854530083266,0.7476635514018691,0.3088235294117647,0.5666666666666667
S02_ON_OFF,7,direct,0.5141232289093982,0.6431760724868096,0.6217948717948718,0.5458127176104086,0.7397364145055252,0.6962616822429907,0.4411764705882353,0.5
S02_ON_OFF,7,two_stage,0.5071656613928146,0.646739181747827,0.6378205128205128,0.5211166086372244,0.735467127018237,0.7476635514018691,0.38235294117647056,0.43333333333333335
S02_ON_OFF,8,direct,0.48061979235160623,0.6109008954503021,0.592948717948718,0.5208020279762996,0.6868060643982389,0.6869158878504673,0.3088235294117647,0.5666666666666667
S02_ON_OFF,8,two_stage,0.48535463568143306,0.6270739064856711,0.6153846153846154,0.5188076476696598,0.692981542188993,0.7289719626168224,0.29411764705882354,0.5333333333333333
S02_ON_OFF,9,direct,0.5094897293642834,0.650894728491617,0.6314102564102564,0.5342434793231935,0.758356920735574,0.7242990654205608,0.4117647058823529,0.4666666666666667
