sensitivity_id,target,selected_column,selected_seeds
S02_ON_OFF,stage_1,DXBRADY_Unknown,12
S02_ON_OFF,stage_1,DXBRADY_Yes,12
S02_ON_OFF,stage_1,NP1URIN,12
S02_ON_OFF,stage_1,SCAU16,10
S02_ON_OFF,stage_1,SCAU14,9
S02_ON_OFF,stage_1,DXTREMOR_No,8
S02_ON_OFF,stage_1,DXTREMOR_Unknown,8
S02_ON_OFF,stage_1,DXTREMOR_Yes,8
S02_ON_OFF,stage_1,FEATPOSHYP_No,8
S02_ON_OFF,stage_1,FEATPOSHYP_Uncertain,8
S02_ON_OFF,stage_1,FEATPOSHYP_Yes,8
S02_ON_OFF,stage_1,DOMSIDE_Left,7
S02_ON_OFF,stage_1,DOMSIDE_Right,7
S02_ON_OFF,stage_1,DOMSIDE_Symmetric,7
S02_ON_OFF,stage_1,DOMSIDE_Unknown,7
S02_ON_OFF,stage_1,DXPOSINS_No,7
S02_ON_OFF,stage_1,DXPOSINS_Unknown,7
S02_ON_OFF,stage_1,DXPOSINS_Yes,7
S02_ON_OFF,stage_1,DXRIGID_No,7
S02_ON_OFF,stage_1,DXRIGID_Unknown,7
S02_ON_OFF,stage_1,DXRIGID_Yes,7
S02_ON_OFF,stage_1,NP1SLPD,7
S02_ON_OFF,stage_1,DXPOSINS_Missing,5
S02_ON_OFF,stage_1,PCA_PART_I_PATIENT_3_90_PC1,2
S02_ON_OFF,stage_1,PCA_PART_I_PATIENT_3_90_PC2,2
S02_ON_OFF,stage_1,PCA_PART_I_PATIENT_3_90_PC3,2
S02_ON_OFF,stage_1,PCA_PART_I_PATIENT_3_80_PC1,1
S02_ON_OFF,stage_1,PCA_PART_I_PATIENT_3_80_PC2,1
S02_ON_OFF,stage_2,FOG_FORM_MISSING,20
S02_ON_OFF,stage_2,FRZGT12M,20
S02_ON_OFF,stage_2,NP4TOT,20
S02_ON_OFF,stage_2,NQ_FORM_MISSING,20
S02_ON_OFF,stage_2,NQ_GAUSSIAN_REVISION,20
S02_ON_OFF,stage_2,PART_IV_FORM_MISSING,20
S02_ON_OFF,stage_2,Years_since_PD_diagnosis,20
S02_ON_OFF,stage_2,NHY_OFF_MAX,19
S02_ON_OFF,stage_2,NHY_ON_MAX,19
S02_ON_OFF,stage_2,NP3GAIT_OFF_MAX,19
S02_ON_OFF,stage_2,NP3GAIT_ON_MAX,19
S02_ON_OFF,stage_2,NP3PSTBL_OFF_MAX,19
S02_ON_OFF,stage_2,NP3PSTBL_ON_MAX,19
S02_ON_OFF,stage_2,NP3TOT_OFF_MAX,19
S02_ON_OFF,stage_2,NP3TOT_ON_MAX,19
S02_ON_OFF,stage_2,OFF_STATE_AVAILABLE,19
S02_ON_OFF,stage_2,ON_STATE_AVAILABLE,19
S02_ON_OFF,stage_2,SCAU14,19
S02_ON_OFF,stage_2,NP1URIN,14
S02_ON_OFF,stage_2,ANYFAMPD_Missing,13
S02_ON_OFF,stage_2,ANYFAMPD_No,13
S02_ON_OFF,stage_2,ANYFAMPD_Yes,13
S02_ON_OFF,stage_2,NP1RTOT,13
S02_ON_OFF,stage_2,DOMSIDE_Left,10
S02_ON_OFF,stage_2,DOMSIDE_Right,10
S02_ON_OFF,stage_2,DOMSIDE_Symmetric,10
S02_ON_OFF,stage_2,DOMSIDE_Unknown,10
S02_ON_OFF,stage_2,GDS_TOTAL,10
S02_ON_OFF,stage_2,FEATPOSHYP_No,9
S02_ON_OFF,stage_2,FEATPOSHYP_Uncertain,9
S02_ON_OFF,stage_2,FEATPOSHYP_Yes,9
S02_ON_OFF,stage_2,DOPTHERST_Missing,7
S02_ON_OFF,stage_2,DOPTHERST_No,7
S02_ON_OFF,stage_2,DOPTHERST_Yes,7
S02_ON_OFF,stage_2,NP1SLPD,7
S02_ON_OFF,stage_2,DXBRADY_No,5
S02_ON_OFF,stage_2,DXBRADY_Unknown,5
S02_ON_OFF,stage_2,DXBRADY_Yes,5
S02_ON_OFF,stage_2,DXPOSINS_No,5
S02_ON_OFF,stage_2,DXPOSINS_Unknown,5
S02_ON_OFF,stage_2,DXPOSINS_Yes,5
S02_ON_OFF,stage_2,DXRIGID_No,5
S02_ON_OFF,stage_2,DXRIGID_Unknown,5
S02_ON_OFF,stage_2,DXRIGID_Yes,5
S02_ON_OFF,stage_2,DXTREMOR_No,5
S02_ON_OFF,stage_2,DXTREMOR_Yes,5
S02_ON_OFF,stage_2,Age,4
S02_ON_OFF,stage_2,BMI,4
S02_ON_OFF,stage_2,DXTREMOR_Unknown,4
S02_ON_OFF,stage_2,MCATOT,4
S02_ON_OFF,stage_2,SCAU16,4
S02_ON_OFF,stage_2,NP1CNST,3
S02_ON_OFF,stage_2,PCA_PART_I_PATIENT_3_90_PC1,2
S02_ON_OFF,stage_2,PCA_PART_I_PATIENT_3_90_PC2,2
S02_ON_OFF,stage_2,PCA_PART_I_PATIENT_3_90_PC3,2
S02_ON_OFF,stage_2,PCA_PART_I_PATIENT_3_80_PC1,1
S02_ON_OFF,stage_2,PCA_PART_I_PATIENT_3_80_PC2,1
S03_COHORT_1043,direct,FOG_FORM_MISSING,20
S03_COHORT_1043,direct,FRZGT12M,20
S03_COHORT_1043,direct,NHY_COMBINED_MAX,20
S03_COHORT_1043,direct,NP3GAIT_COMBINED_MAX,20
S03_COHORT_1043,direct,NP3PSTBL_COMBINED_MAX,20
S03_COHORT_1043,direct,NP4TOT,20
S03_COHORT_1043,direct,NQ_FORM_MISSING,20
S03_COHORT_1043,direct,NQ_GAUSSIAN_REVISION,20
S03_COHORT_1043,direct,PART_IV_FORM_MISSING,20
S03_COHORT_1043,direct,Years_since_PD_diagnosis,20
S03_COHORT_1043,direct,NP1RTOT,19
S03_COHORT_1043,direct,ANYFAMPD_Missing,18
S03_COHORT_1043,direct,ANYFAMPD_No,18
S03_COHORT_1043,direct,ANYFAMPD_Yes,18
S03_COHORT_1043,direct,NP1CNST,18
S03_COHORT_1043,direct,NP1URIN,17
S03_COHORT_1043,direct,DOPTHERST_Missing,15
S03_COHORT_1043,direct,DOPTHERST_No,15
S03_COHORT_1043,direct,DOPTHERST_Yes,15
S03_COHORT_1043,direct,GDS_TOTAL,15
S03_COHORT_1043,direct,NP3TOT_COMBINED_MAX,14
S03_COHORT_1043,direct,SCAU14,14
S03_COHORT_1043,direct,Age,13
S03_COHORT_1043,direct,MCATOT,13
S03_COHORT_1043,direct,SCAU16,12
S03_COHORT_1043,direct,NP1SLPD,11
S03_COHORT_1043,direct,DOMSIDE_Left,8
S03_COHORT_1043,direct,DOMSIDE_Right,8
S03_COHORT_1043,direct,DOMSIDE_Symmetric,8
S03_COHORT_1043,direct,DOMSIDE_Unknown,8
S03_COHORT_1043,direct,FEATPOSHYP_Missing,8
S03_COHORT_1043,direct,FEATPOSHYP_No,8
S03_COHORT_1043,direct,FEATPOSHYP_Uncertain,8
S03_COHORT_1043,direct,FEATPOSHYP_Yes,8
S03_COHORT_1043,direct,DXBRADY_No,7
S03_COHORT_1043,direct,DXBRADY_Unknown,7
S03_COHORT_1043,direct,DXBRADY_Yes,7
S03_COHORT_1043,direct,BMI,6
S03_COHORT_1043,direct,DXPOSINS_No,6
S03_COHORT_1043,direct,DXPOSINS_Unknown,6
S03_COHORT_1043,direct,DXPOSINS_Yes,6
S03_COHORT_1043,direct,DXRIGID_No,6
S03_COHORT_1043,direct,DXRIGID_Unknown,6
S03_COHORT_1043,direct,DXRIGID_Yes,6
S03_COHORT_1043,direct,DXTREMOR_No,6
S03_COHORT_1043,direct,DXTREMOR_Unknown,6
S03_COHORT_1043,direct,DXTREMOR_Yes,6
S03_COHORT_1043,direct,NO_ELIGIBLE_LONGITUDINAL_HISTORY,6
S03_COHORT_1043,direct,DXPOSINS_Missing,5
S03_COHORT_1043,direct,INT_GAIT_X_POSTURAL_STABILITY,2
S03_COHORT_1043,direct,INT_DURATION_X_MOTOR,1
S03_COHORT_1043,direct,INT_MOTOR_X_COGNITION,1
S03_COHORT_1043,direct,PCA_PART_I_PATIENT_3_80_PC1,1
S03_COHORT_1043,direct,PCA_PART_I_PATIENT_3_80_PC2,1
S03_COHORT_1043,direct,PCA_PART_I_PATIENT_3_90_PC1,1
