split_seed,target,configuration_id,pipeline_key,candidate_kind,selector,selector_parameter,branch,branch_kind,model_family,backend,mean_macro_f1,sd_macro_f1,mean_priority_recall,mean_balanced_accuracy,mean_accuracy,mean_selected_columns,mean_selected_groups,mean_fit_seconds,inner_folds,retained_rank
6,stage_2,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,random_forest,unscaled_dense,0.682594225454395,0.07130242834116736,0.8044354838709677,0.6836463133640553,0.7304347826086957,18.2,14.0,0.3352791666002304,5,2
7,direct,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,extra_trees,threshold=1.25*median,,raw,random_forest,unscaled_dense,0.5260755790897929,0.037227834239305695,0.4338709677419355,0.559043088333411,0.6235994331601322,14.0,9.8,0.2895185751993267,5,1
7,direct,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,catboost,native,0.5099065933078663,0.020293717723696595,0.4272177419354839,0.5425800361526169,0.6181199811053377,24.8,18.6,0.3263855249992048,5,2
7,stage_1,ENG_03,engineering__INT_DURATION_X_MOTOR,engineered_representation,none,all,INT_DURATION_X_MOTOR,interaction,rbf_svc,scaled_dense,0.6910666190615691,0.026694818840668384,0.6782608695652174,0.7065950812472551,0.7170429853566367,47.8,27.0,0.066007007999724,5,1
7,stage_1,ENG_03,engineering__INT_DURATION_X_MOTOR,engineered_representation,none,all,INT_DURATION_X_MOTOR,interaction,hist_gradient_boosting,scaled_dense,0.7001062369008986,0.03237483039363197,0.6260869565217392,0.705578831796223,0.7348323098724611,47.8,27.0,0.563170116800029,5,2
7,stage_2,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,none,all,PCA_PART_I_PATIENT_3_80,pca,random_forest,scaled_dense,0.6667746375853041,0.060566464708858014,0.8175403225806452,0.6625796850998464,0.7217391304347827,45.2,27.0,0.2631017913998221,5,1
7,stage_2,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,none,all,PCA_PART_I_PATIENT_3_90,pca,random_forest,scaled_dense,0.6584274639476382,0.047043929613953046,0.8050403225806452,0.6558534946236559,0.7130434782608696,46.0,27.0,0.2683089420002943,5,2
8,direct,ENG_03,engineering__INT_DURATION_X_MOTOR,engineered_representation,none,all,INT_DURATION_X_MOTOR,interaction,extra_trees,scaled_dense,0.532434714836092,0.01881840387410009,0.37056451612903224,0.5720871619420007,0.645602267359471,47.0,27.0,0.17980858299997635,5,1
8,direct,ENG_03,engineering__INT_DURATION_X_MOTOR,engineered_representation,none,all,INT_DURATION_X_MOTOR,interaction,catboost,scaled_dense,0.5160738549265932,0.026256303721178292,0.4332661290322581,0.5455937601824699,0.6208313651393482,47.0,27.0,0.21580519180060947,5,2
8,stage_1,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,random_forest,unscaled_dense,0.7004743623930624,0.034362039814457415,0.656749922910885,0.710960820041301,0.7307699574870099,28.4,19.4,0.29368957499900716,5,1
8,stage_1,ENG_01,engineering__INT_GAIT_X_POSTURAL_STABILITY,engineered_representation,none,all,INT_GAIT_X_POSTURAL_STABILITY,interaction,extra_trees,scaled_dense,0.6995139513295265,0.030144213212139375,0.6566533045533971,0.709892308842355,0.7294000944733112,47.0,27.0,0.17108661680176737,5,2
8,stage_2,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,extra_trees,threshold=1.25*median,,raw,linear_svc,scaled_dense,0.6822004381277779,0.05276388815462313,0.7915322580645161,0.6843375576036866,0.7259327782917052,18.8,10.0,0.16805794980100472,5,1
8,stage_2,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,extra_trees,threshold=1.25*median,,raw,random_forest,unscaled_dense,0.68113354825399,0.04798845960049631,0.7915322580645161,0.684813748079877,0.7259327782917052,18.8,10.0,0.22592324179931894,5,2
9,direct,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,none,all,PCA_PART_I_PATIENT_3_80,pca,catboost,scaled_dense,0.5291734283665868,0.06241589270440117,0.4397177419354839,0.5579482420208227,0.6264241851676902,45.8,27.0,0.2309959081998386,5,1
9,direct,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,none,all,PCA_PART_I_PATIENT_3_80,pca,rbf_svc,scaled_dense,0.514967019220957,0.07071213099411451,0.5334677419354839,0.5424728932954739,0.6085970713273501,45.8,27.0,0.06461706639965996,5,2
9,stage_1,SEL_03,raw__l1__C=0.1,selector_configuration,l1,C=0.1,,raw,logistic,scaled_dense,0.6791901628823951,0.027776518487064777,0.6521739130434783,0.6926425120772948,0.7074822862541332,20.4,13.8,0.04571073340048315,5,1
9,stage_1,SEL_03,raw__l1__C=0.1,selector_configuration,l1,C=0.1,,raw,linear_svc,scaled_dense,0.6777967179137729,0.03653446563832215,0.6347826086956522,0.6889569609134826,0.7088521492678319,20.4,13.8,0.05525730820008903,5,2
9,stage_2,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,extra_trees,threshold=1.25*median,,raw,logistic,scaled_dense,0.7158120238368785,0.12156707394069553,0.7659274193548387,0.7291541858678955,0.7434782608695653,17.0,9.4,0.09947890820039902,5,1
9,stage_2,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,corrected_fdr,q<=0.05,,raw,extra_trees,unscaled_dense,0.702701806390331,0.07308359275892479,0.7663306451612903,0.7145938940092166,0.7347826086956522,17.0,13.2,0.3107416999999259,5,2
10,direct,SEL_07,raw__extra_trees__threshold=median,selector_configuration,extra_trees,threshold=median,,raw,random_forest,unscaled_dense,0.5221958207273387,0.05788922272549345,0.3461693548387097,0.5692079667644184,0.6276806802078413,22.8,13.0,0.27768385840026893,5,1
10,direct,SEL_07,raw__extra_trees__threshold=median,selector_configuration,extra_trees,threshold=median,,raw,catboost,native,0.5062664719784411,0.05151943131369766,0.3836693548387097,0.5530393760958277,0.6016627302786963,22.8,13.0,0.22608534159953705,5,2
10,stage_1,SEL_07,raw__extra_trees__threshold=median,selector_configuration,extra_trees,threshold=median,,raw,extra_trees,unscaled_dense,0.6833253489269223,0.01109286087828225,0.6478260869565218,0.6954382960035134,0.712914501653283,19.6,13.0,0.23246726659999695,5,1
10,stage_1,SEL_07,raw__extra_trees__threshold=median,selector_configuration,extra_trees,threshold=median,,raw,logistic,scaled_dense,0.6725963559927379,0.03289579926416102,0.6391304347826087,0.6850399648660519,0.7018989135569201,19.6,13.0,0.09596314180016634,5,2
10,stage_2,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,extra_trees,threshold=1.25*median,,raw,random_forest,unscaled_dense,0.6887092385761984,0.06650810515591449,0.7542338709677419,0.7009264592933947,0.7217391304347827,17.6,9.0,0.22336755840005934,5,1
10,stage_2,SEL_05,raw__none__all,selector_configuration,none,all,,raw,extra_trees,unscaled_dense,0.6765814849414745,0.08048013293701733,0.7360887096774194,0.6909014976958525,0.7086956521739131,46.0,26.0,0.14315779179960372,5,2
11,direct,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,none,all,PCA_PART_I_PATIENT_3_90,pca,rbf_svc,scaled_dense,0.5094474393005346,0.05743022614670161,0.4217741935483871,0.5301863954444599,0.6415210203117618,46.8,27.0,0.071411475000059,5,1
