model_family,grid_id,parameters
lightgbm,10,"{""class_weight"": null, ""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 31, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""subsample_freq"": 1}"
lightgbm,11,"{""class_weight"": ""balanced"", ""colsample_bytree"": 0.8, ""learning_rate"": 0.03, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 31, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""subsample_freq"": 1}"
lightgbm,12,"{""class_weight"": null, ""colsample_bytree"": 0.8, ""learning_rate"": 0.08, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""subsample_freq"": 1}"
lightgbm,13,"{""class_weight"": ""balanced"", ""colsample_bytree"": 0.8, ""learning_rate"": 0.08, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 31, ""reg_lambda"": 1.0, ""subsample"": 0.8, ""subsample_freq"": 1}"
lightgbm,14,"{""class_weight"": null, ""colsample_bytree"": 0.8, ""learning_rate"": 0.08, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 31, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""subsample_freq"": 1}"
lightgbm,15,"{""class_weight"": ""balanced"", ""colsample_bytree"": 0.8, ""learning_rate"": 0.08, ""min_child_samples"": 20, ""n_estimators"": 300, ""num_leaves"": 31, ""reg_lambda"": 5.0, ""subsample"": 0.8, ""subsample_freq"": 1}"
catboost,0,"{""auto_class_weights"": null, ""depth"": 4, ""iterations"": 300, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03}"
catboost,1,"{""auto_class_weights"": ""Balanced"", ""depth"": 4, ""iterations"": 300, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03}"
catboost,2,"{""auto_class_weights"": null, ""depth"": 4, ""iterations"": 300, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.08}"
catboost,3,"{""auto_class_weights"": ""Balanced"", ""depth"": 4, ""iterations"": 300, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.08}"
catboost,4,"{""auto_class_weights"": null, ""depth"": 6, ""iterations"": 300, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03}"
catboost,5,"{""auto_class_weights"": ""Balanced"", ""depth"": 6, ""iterations"": 300, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03}"
catboost,6,"{""auto_class_weights"": null, ""depth"": 6, ""iterations"": 300, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.08}"
catboost,7,"{""auto_class_weights"": ""Balanced"", ""depth"": 6, ""iterations"": 300, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.08}"
catboost,8,"{""auto_class_weights"": null, ""depth"": 4, ""iterations"": 600, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03}"
catboost,9,"{""auto_class_weights"": ""Balanced"", ""depth"": 4, ""iterations"": 600, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03}"
catboost,10,"{""auto_class_weights"": null, ""depth"": 4, ""iterations"": 600, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.08}"
catboost,11,"{""auto_class_weights"": ""Balanced"", ""depth"": 4, ""iterations"": 600, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.08}"
catboost,12,"{""auto_class_weights"": null, ""depth"": 6, ""iterations"": 600, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03}"
catboost,13,"{""auto_class_weights"": ""Balanced"", ""depth"": 6, ""iterations"": 600, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.03}"
catboost,14,"{""auto_class_weights"": null, ""depth"": 6, ""iterations"": 600, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.08}"
catboost,15,"{""auto_class_weights"": ""Balanced"", ""depth"": 6, ""iterations"": 600, ""l2_leaf_reg"": 5.0, ""learning_rate"": 0.08}"
