split_seed,target,configuration_id,pipeline_key,candidate_kind,feature_set,selector,selector_parameter,branch,branch_kind,reference_model,mean_macro_f1,sd_macro_f1,mean_priority_recall,mean_balanced_accuracy,mean_accuracy,mean_selected_columns,mean_selected_groups,inner_folds,mean_delta_macro_f1,improving_folds,mean_delta_priority_recall,eligible_to_advance,retained_rank
6,stage_2,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,final_26,corrected_fdr,q<=0.05,,raw,extra_trees,0.6813215630910794,0.1024586371216368,0.7729838709677419,0.6888728878648234,0.7217391304347827,18.2,14.0,5,,,,True,2
7,direct,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,final_26,extra_trees,threshold=1.25*median,,raw,extra_trees,0.5106830993598251,0.027534983921932234,0.3584677419354839,0.5618538456764263,0.6140292867264998,14.0,9.4,5,,,,True,1
7,direct,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,final_26,corrected_fdr,q<=0.05,,raw,extra_trees,0.4958689989729345,0.02274800555053376,0.30201612903225805,0.5494474157861255,0.607113840340104,24.8,18.6,5,,,,True,2
7,stage_1,SEL_05,raw__none__all,selector_configuration,final_26,none,all,,raw,extra_trees,0.6852414307966297,0.03381219145501343,0.6521739130434783,0.6975314009661836,0.7142749173358526,46.8,26.0,5,,,,True,1
7,stage_1,ENG_03,engineering__INT_DURATION_X_MOTOR,engineered_representation,final_26,none,all,INT_DURATION_X_MOTOR,interaction,extra_trees,0.685675308357659,0.03299145268416219,0.6478260869565217,0.6973574879227054,0.7156447803495511,47.8,47.8,5,0.005658746362253208,3.0,0.017391304347826077,True,2
7,stage_2,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_80,pca,extra_trees,0.6516588892749773,0.073695036757814,0.7550403225806452,0.6594249231950845,0.6956521739130435,45.2,45.2,5,0.00982604291312219,3.0,0.025,True,1
7,stage_2,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_90,pca,extra_trees,0.6577665574071171,0.077062088016248,0.7550403225806452,0.6660915898617511,0.7,46.0,46.0,5,0.015933711045261933,3.0,0.025,True,2
8,direct,ENG_03,engineering__INT_DURATION_X_MOTOR,engineered_representation,final_26,none,all,INT_DURATION_X_MOTOR,interaction,extra_trees,0.5239565411385364,0.023676249174068728,0.38326612903225804,0.5672031877918975,0.6373736419461502,47.0,47.0,5,0.024944041481939093,4.0,0.075,True,1
8,direct,ENG_02,engineering__INT_MOTOR_X_COGNITION,engineered_representation,final_26,none,all,INT_MOTOR_X_COGNITION,interaction,extra_trees,0.5291667109886581,0.030765439801806536,0.37076612903225803,0.5724920285807382,0.6456211620217289,47.0,47.0,5,0.03015421133206082,4.0,0.0625,True,2
8,stage_1,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,final_26,corrected_fdr,q<=0.05,,raw,extra_trees,0.699177584834663,0.023011885967081463,0.656749922910885,0.7099305170109981,0.7293811998110533,28.4,19.4,5,,,,True,1
8,stage_1,ENG_01,engineering__INT_GAIT_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_GAIT_X_POSTURAL_STABILITY,interaction,extra_trees,0.7030133889402659,0.034887373038538644,0.6564641792578888,0.7128078472047019,0.7334813415210203,47.0,47.0,5,0.0160969315673166,3.0,0.008321513002364056,True,2
8,stage_2,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,final_26,extra_trees,threshold=1.25*median,,raw,extra_trees,0.6766569369023787,0.056700466082362615,0.7852822580645161,0.6821649385560675,0.7218665844382773,19.0,10.6,5,,,,True,1
8,stage_2,SEL_05,raw__none__all,selector_configuration,final_26,none,all,,raw,extra_trees,0.6761411409940822,0.0776800380346583,0.7852822580645161,0.6831173195084486,0.722051598314318,45.8,26.0,5,,,,True,2
9,direct,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,final_26,corrected_fdr,q<=0.05,,raw,extra_trees,0.5100632381944847,0.04781635322194399,0.35201612903225804,0.5617302440689537,0.6167784600850259,23.8,18.4,5,,,,True,1
9,direct,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_80,pca,extra_trees,0.514619747591648,0.06328300863135133,0.3199596774193548,0.5638403349935608,0.6278034955125177,45.8,45.8,5,0.025143164531742302,4.0,0.03790322580645161,True,2
9,stage_1,SEL_03,raw__l1__C=0.1,selector_configuration,final_26,l1,C=0.1,,raw,logistic,0.6791901628823951,0.027776518487064777,0.6521739130434783,0.6926425120772948,0.7074822862541332,20.4,13.8,5,,,,True,1
9,stage_1,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_80,pca,extra_trees,0.6778876999901844,0.03293119542057883,0.6217391304347826,0.687435221783048,0.7115446386395843,45.8,45.8,5,0.002851350681098275,3.0,0.02173913043478264,True,2
9,stage_2,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,final_26,extra_trees,threshold=1.25*median,,raw,extra_trees,0.6976291145249368,0.0939226557127456,0.7661290322580645,0.7078264208909371,0.7304347826086957,17.8,9.8,5,,,,True,1
9,stage_2,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,final_26,corrected_fdr,q<=0.05,,raw,extra_trees,0.6910553504690204,0.08401343844628915,0.7600806451612903,0.703849846390169,0.7260869565217392,16.4,13.0,5,,,,True,2
10,direct,SEL_07,raw__extra_trees__threshold=median,selector_configuration,final_26,extra_trees,threshold=median,,raw,extra_trees,0.5175939231862839,0.056118277965426316,0.3326612903225806,0.5817798336669304,0.6263013698630137,21.8,13.0,5,,,,True,1
10,direct,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,final_26,corrected_fdr,q<=0.05,,raw,extra_trees,0.5004218395779809,0.03711852713040824,0.3014112903225806,0.5677739414110381,0.6043646669815776,23.8,18.0,5,,,,True,2
10,stage_1,SEL_07,raw__extra_trees__threshold=median,selector_configuration,final_26,extra_trees,threshold=median,,raw,extra_trees,0.6682308894018705,0.02276800483818527,0.6347826086956522,0.6808761528326747,0.6978082191780822,19.2,13.0,5,,,,True,1
10,stage_1,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,final_26,corrected_fdr,q<=0.05,,raw,extra_trees,0.669493710897169,0.014888089027944732,0.6086956521739131,0.67788317962231,0.7032971185640056,24.6,18.4,5,,,,True,2
10,stage_2,SEL_05,raw__none__all,selector_configuration,final_26,none,all,,raw,extra_trees,0.6694355472607303,0.07734236941918271,0.7423387096774194,0.6802169738863287,0.7043478260869566,46.0,26.0,5,,,,True,1
10,stage_2,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,final_26,extra_trees,threshold=1.25*median,,raw,extra_trees,0.6693077733734961,0.11735239135645407,0.7231854838709678,0.6844498847926268,0.7,19.2,10.2,5,,,,True,2
11,direct,ENG_02,engineering__INT_MOTOR_X_COGNITION,engineered_representation,final_26,none,all,INT_MOTOR_X_COGNITION,interaction,extra_trees,0.5103496217839455,0.04415895668044511,0.28951612903225804,0.5500320718707815,0.6470760510155881,47.8,47.8,5,0.017110199176419018,4.0,0.04435483870967742,True,1
11,direct,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_90,pca,extra_trees,0.5048132784114095,0.032766776986745495,0.28286290322580643,0.5513294814504492,0.6374114312706661,46.8,46.8,5,0.011573855803883103,4.0,0.03770161290322581,True,2
11,stage_1,ENG_05,engineering__PCA_PART_I_PATIENT_3_80,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_80,pca,extra_trees,0.6938965136400542,0.030546541143440884,0.6224380717442697,0.7008048944579934,0.729456778460085,45.8,45.8,5,0.0009736677617875778,3.0,0.01758454106280194,True,1
11,stage_1,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,final_26,corrected_fdr,q<=0.05,,raw,extra_trees,0.6962415218216014,0.03197668824027896,0.6221564395107411,0.7026842803614312,0.7322059518186113,27.8,19.6,5,,,,True,2
11,stage_2,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_90,pca,extra_trees,0.6560059657025352,0.0741504242174327,0.7409274193548387,0.6657018049155146,0.6952040291910782,45.8,45.8,5,0.0350340706006548,4.0,0.0379032258064516,True,1
11,stage_2,ENG_07,engineering__PCA_PART_I_PATIENT_3_95,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_95,pca,extra_trees,0.6560059657025352,0.0741504242174327,0.7409274193548387,0.6657018049155146,0.6952040291910782,45.8,45.8,5,0.0350340706006548,4.0,0.0379032258064516,True,2
12,direct,SEL_02,raw__corrected_fdr__q<=0.05,selector_configuration,final_26,corrected_fdr,q<=0.05,,raw,logistic,0.5254632247847413,0.08239235510485585,0.4086693548387097,0.5769696310260827,0.615266887104393,25.8,18.8,5,,,,True,1
12,direct,SEL_07,raw__extra_trees__threshold=median,selector_configuration,final_26,extra_trees,threshold=median,,raw,extra_trees,0.5155287855340639,0.06881550255509283,0.32681451612903223,0.5689247040295428,0.6207746811525745,21.0,13.0,5,,,,True,2
12,stage_1,ENG_06,engineering__PCA_PART_I_PATIENT_3_90,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_90,pca,extra_trees,0.6942140077719735,0.04340086539423559,0.6521739130434783,0.7044707949055775,0.7238072744449693,46.8,46.8,5,0.016225556094447403,3.0,0.034782608695652174,True,1
12,stage_1,ENG_07,engineering__PCA_PART_I_PATIENT_3_95,engineered_representation,final_26,none,all,PCA_PART_I_PATIENT_3_95,pca,extra_trees,0.6942140077719735,0.04340086539423559,0.6521739130434783,0.7044707949055775,0.7238072744449693,46.8,46.8,5,0.016225556094447403,3.0,0.034782608695652174,True,2
12,stage_2,SEL_07,raw__extra_trees__threshold=median,selector_configuration,final_26,extra_trees,threshold=median,,raw,extra_trees,0.6778735456752698,0.13221066277704788,0.7608870967741936,0.6885387864823349,0.7173913043478262,24.2,13.0,5,,,,True,1
12,stage_2,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,final_26,corrected_fdr,q<=0.05,,raw,extra_trees,0.6809903855867396,0.08827747457835389,0.7542338709677419,0.6933074116743472,0.717391304347826,15.8,12.0,5,,,,True,2
13,direct,ENG_01,engineering__INT_GAIT_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_GAIT_X_POSTURAL_STABILITY,interaction,extra_trees,0.5191832694897117,0.03877008571630369,0.28931451612903225,0.5708450984499371,0.6401039206424185,47.8,47.8,5,0.00971192484472153,3.0,0.00625,True,1
13,direct,SEL_05,raw__none__all,selector_configuration,final_26,none,all,,raw,extra_trees,0.5128898675712266,0.029591350116791672,0.27681451612903224,0.5646553437601824,0.6428814359943316,46.8,26.0,5,,,,True,2
13,stage_1,SEL_02,raw__corrected_fdr__q<=0.05,selector_configuration,final_26,corrected_fdr,q<=0.05,,raw,logistic,0.6885252948107218,0.021909155931119563,0.6697769554938843,0.7034642353226996,0.715701464336325,26.6,19.2,5,,,,True,1
13,stage_1,SEL_03,raw__l1__C=0.1,selector_configuration,final_26,l1,C=0.1,,raw,logistic,0.6959735126142121,0.032505873146599897,0.6608880666049954,0.7080399928984573,0.7252716107699575,19.8,13.2,5,,,,True,2
13,stage_2,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,final_26,corrected_fdr,q<=0.05,,raw,extra_trees,0.6732153250271325,0.06979135852345472,0.6923387096774194,0.6975979262672811,0.6955103299414123,17.4,13.2,5,,,,True,1
13,stage_2,SEL_04,raw__l1__C=1.0,selector_configuration,final_26,l1,C=1.0,,raw,logistic,0.6270048028333076,0.08349671546251791,0.7229838709677419,0.6353014592933948,0.6689320587932983,38.8,21.8,5,,,,True,2
14,direct,SEL_02,raw__corrected_fdr__q<=0.05,selector_configuration,final_26,corrected_fdr,q<=0.05,,raw,logistic,0.5095447081189508,0.05204706099196127,0.34576612903225806,0.5636834667721764,0.6140765233821446,26.0,19.0,5,,,,True,1
14,direct,SEL_03,raw__l1__C=0.1,selector_configuration,final_26,l1,C=0.1,,raw,logistic,0.4983348306328089,0.05021861851145136,0.31451612903225806,0.5529858958246056,0.5976098252243741,35.0,21.6,5,,,,True,2
14,stage_1,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,final_26,corrected_fdr,q<=0.05,,raw,extra_trees,0.6728682004175285,0.0217561316435171,0.6306506321307431,0.683800063540119,0.7032782239017478,26.6,19.2,5,,,,True,1
14,stage_1,SEL_07,raw__extra_trees__threshold=median,selector_configuration,final_26,extra_trees,threshold=median,,raw,extra_trees,0.6696021715639631,0.02355118557187217,0.626021173810258,0.6804651323596744,0.7005384978743505,18.0,13.0,5,,,,True,2
14,stage_2,SEL_07,raw__extra_trees__threshold=median,selector_configuration,final_26,extra_trees,threshold=median,,raw,extra_trees,0.704713851212489,0.04238848699647644,0.7423387096774194,0.7240264976958525,0.7307595847466338,25.4,13.0,5,,,,True,1
14,stage_2,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,final_26,corrected_fdr,q<=0.05,,raw,extra_trees,0.6869175943520485,0.06779034830913441,0.7235887096774194,0.7079848310291859,0.7137465309898243,16.4,12.6,5,,,,True,2
15,direct,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,final_26,extra_trees,threshold=1.25*median,,raw,extra_trees,0.5106514756464882,0.0428446101007867,0.3588709677419355,0.5623422706325932,0.6167028814359943,14.2,9.6,5,,,,True,1
15,direct,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,final_26,corrected_fdr,q<=0.05,,raw,extra_trees,0.5066987347431556,0.024892296109080145,0.3272177419354839,0.5540268855994663,0.6222106754841757,25.2,18.6,5,,,,True,2
15,stage_1,SEL_03,raw__l1__C=0.1,selector_configuration,final_26,l1,C=0.1,,raw,logistic,0.6817881419143688,0.05575274285954733,0.6478260869565218,0.6943372859025032,0.7115446386395843,20.6,14.6,5,,,,True,1
15,stage_1,SEL_07,raw__extra_trees__threshold=median,selector_configuration,final_26,extra_trees,threshold=median,,raw,extra_trees,0.6738024996159864,0.058621951422694524,0.6391304347826087,0.6870298638559509,0.704723665564478,18.4,13.0,5,,,,True,2
15,stage_2,ENG_04,engineering__INT_MOBILITY_X_POSTURAL_STABILITY,engineered_representation,final_26,none,all,INT_MOBILITY_X_POSTURAL_STABILITY,interaction,extra_trees,0.6713242375742376,0.07344772233246154,0.7675403225806452,0.6785320660522274,0.7130434782608696,47.0,47.0,5,0.02474667535151409,4.0,0.00625,True,1
15,stage_2,SEL_07,raw__extra_trees__threshold=median,selector_configuration,final_26,extra_trees,threshold=median,,raw,extra_trees,0.6800642686484006,0.05548742300561088,0.7612903225806452,0.6901689708141321,0.717391304347826,27.0,13.0,5,,,,True,2
16,direct,SEL_06,raw__corrected_fdr__q<=0.05,selector_configuration,final_26,corrected_fdr,q<=0.05,,raw,extra_trees,0.5085765771335439,0.052456373149052694,0.29556451612903223,0.5594132802681189,0.6292300425129901,24.2,18.0,5,,,,True,1
16,direct,SEL_08,raw__extra_trees__threshold=1.25*median,selector_configuration,final_26,extra_trees,threshold=1.25*median,,raw,extra_trees,0.5165025217814895,0.058523072301037586,0.28951612903225804,0.5743630002017099,0.6375059045819557,15.8,9.2,5,,,,True,2
