inner_validation_fold,group,model,metric,mean_drop
2,GROUP_NEUROQOL_FORM,direct_system,macro_f1,0.012731869580357946
2,GROUP_NEUROQOL_FORM,direct_system,rare_fall_recall,1.6653345369377347e-17
2,GROUP_NEUROQOL_FORM,two_stage_system,macro_f1,0.0321247829475486
2,GROUP_NEUROQOL_FORM,two_stage_system,rare_fall_recall,-0.07333333333333336
2,GROUP_NEUROQOL_FORM,stage_1,macro_f1,-0.0015331856430107593
2,GROUP_NEUROQOL_FORM,stage_2,macro_f1,0.07190257466138528
2,GROUP_NEUROQOL_FORM,stage_2,rare_fall_recall,-0.037777777777777834
2,Years_since_PD_diagnosis,direct_system,macro_f1,0.0003763863380350285
2,Years_since_PD_diagnosis,direct_system,rare_fall_recall,0.006666666666666687
2,Years_since_PD_diagnosis,two_stage_system,macro_f1,0.007495406409389782
2,Years_since_PD_diagnosis,two_stage_system,rare_fall_recall,0.0333333333333333
2,Years_since_PD_diagnosis,stage_1,macro_f1,0.007960467043618868
2,Years_since_PD_diagnosis,stage_2,macro_f1,-0.01024196109295381
2,Years_since_PD_diagnosis,stage_2,rare_fall_recall,-0.013333333333333353
2,Age,direct_system,macro_f1,0.003340846812809961
2,Age,direct_system,rare_fall_recall,0.026666666666666682
2,Age,two_stage_system,macro_f1,0.0017545263609278327
2,Age,two_stage_system,rare_fall_recall,0.006666666666666659
2,Age,stage_1,macro_f1,-0.0017075685262238015
2,Age,stage_2,macro_f1,0.0
2,Age,stage_2,rare_fall_recall,0.0
2,DXPOSINS,direct_system,macro_f1,0.0
2,DXPOSINS,direct_system,rare_fall_recall,0.0
2,DXPOSINS,two_stage_system,macro_f1,0.0
2,DXPOSINS,two_stage_system,rare_fall_recall,0.0
2,DXPOSINS,stage_1,macro_f1,0.0
2,DXPOSINS,stage_2,macro_f1,0.0
2,DXPOSINS,stage_2,rare_fall_recall,0.0
2,DXRIGID,direct_system,macro_f1,0.0
2,DXRIGID,direct_system,rare_fall_recall,0.0
2,DXRIGID,two_stage_system,macro_f1,0.0
2,DXRIGID,two_stage_system,rare_fall_recall,0.0
2,DXRIGID,stage_1,macro_f1,0.0
2,DXRIGID,stage_2,macro_f1,0.0
2,DXRIGID,stage_2,rare_fall_recall,0.0
2,DOPTHERST,direct_system,macro_f1,-0.006198786050415806
2,DOPTHERST,direct_system,rare_fall_recall,-0.01555555555555554
2,DOPTHERST,two_stage_system,macro_f1,-0.0058260753209305235
2,DOPTHERST,two_stage_system,rare_fall_recall,-0.015555555555555562
2,DOPTHERST,stage_1,macro_f1,-0.0005911288011463233
2,DOPTHERST,stage_2,macro_f1,-0.01054524502971843
2,DOPTHERST,stage_2,rare_fall_recall,-0.013333333333333353
2,MCATOT,direct_system,macro_f1,0.01460262935089925
2,MCATOT,direct_system,rare_fall_recall,0.02666666666666668
2,MCATOT,two_stage_system,macro_f1,0.00022838249437161505
2,MCATOT,two_stage_system,rare_fall_recall,-0.006666666666666677
2,MCATOT,stage_1,macro_f1,-0.002060946004026376
2,MCATOT,stage_2,macro_f1,0.0
2,MCATOT,stage_2,rare_fall_recall,0.0
2,GROUP_FREEZING_FORM,direct_system,macro_f1,0.007589628233613238
2,GROUP_FREEZING_FORM,direct_system,rare_fall_recall,-0.04888888888888886
2,GROUP_FREEZING_FORM,two_stage_system,macro_f1,0.037931400149716916
2,GROUP_FREEZING_FORM,two_stage_system,rare_fall_recall,-0.031111111111111128
2,GROUP_FREEZING_FORM,stage_1,macro_f1,-0.010407461324982848
2,GROUP_FREEZING_FORM,stage_2,macro_f1,0.08162200118565606
2,GROUP_FREEZING_FORM,stage_2,rare_fall_recall,-0.022222222222222254
2,SCAU14,direct_system,macro_f1,-0.0012099805809501318
2,SCAU14,direct_system,rare_fall_recall,0.013333333333333346
2,SCAU14,two_stage_system,macro_f1,0.010802581313573433
2,SCAU14,two_stage_system,rare_fall_recall,-0.008888888888888896
