model,metric,group,mean_drop,sd_drop,folds_positive,label
stage_2,rare_fall_recall,SCAU16,0.0,0.0,0,Fainting in preceding six months (SCOPA-AUT)
stage_2,rare_fall_recall,Years_since_PD_diagnosis,-0.01936231884057972,0.00945666210000657,0,Years since PD diagnosis
two_stage_system,macro_f1,ANYFAMPD,0.015163719203142755,0.024773145777004048,3,Family history of PD
two_stage_system,macro_f1,Age,-0.0002928456433159999,0.0025874040367623824,2,Age
two_stage_system,macro_f1,BMI,0.0,0.0,0,Body mass index
two_stage_system,macro_f1,DOMSIDE,0.01015073135873096,0.00636136249408275,5,Dominant side at diagnosis
two_stage_system,macro_f1,DOPTHERST,-0.0018692115360947348,0.009377944775558415,1,Dopaminergic therapy started
two_stage_system,macro_f1,DXBRADY,-0.0002706775685671392,0.0014012154027510805,1,Bradykinesia at diagnosis
two_stage_system,macro_f1,DXPOSINS,0.0,0.0,0,Postural instability at diagnosis
two_stage_system,macro_f1,DXRIGID,-0.00354968192657376,0.007937330086321344,0,Rigidity at diagnosis
two_stage_system,macro_f1,DXTREMOR,0.0,0.0,0,Tremor at diagnosis
two_stage_system,macro_f1,FEATPOSHYP,0.001527020547991646,0.009605039548040064,2,Symptomatic orthostatic hypotension documented
two_stage_system,macro_f1,GDS_TOTAL,-0.003823253314622705,0.004319631119791206,1,Geriatric Depression Scale total
two_stage_system,macro_f1,GROUP_FREEZING_FORM,0.05423630186097165,0.02601250209437453,5,"Freezing of gait, preceding 12 months"
two_stage_system,macro_f1,GROUP_NEUROQOL_FORM,0.0321358824951302,0.011946742317611633,5,Neuro-QoL Gaussian mobility score (8 items)
two_stage_system,macro_f1,GROUP_PART_IV_FORM,0.03971287445909616,0.01569758933190559,5,MDS-UPDRS Part IV total (motor complications)
two_stage_system,macro_f1,MCATOT,-0.00399449052847086,0.004170974036604082,1,MoCA total (cognition)
two_stage_system,macro_f1,NHY_COMBINED_MAX,0.010914016978527485,0.01959104335661347,4,Hoehn and Yahr stage
two_stage_system,macro_f1,NP1CNST,0.003457303315390628,0.009214421076947686,4,Constipation
two_stage_system,macro_f1,NP1RTOT,-0.0017796332290830295,0.0075828577356845716,2,MDS-UPDRS Part I rater total
two_stage_system,macro_f1,NP1SLPD,-0.0030712476489386394,0.003724460600916179,1,Daytime sleepiness
two_stage_system,macro_f1,NP1URIN,0.0017208858440138624,0.016198759824309593,3,Urinary problems
two_stage_system,macro_f1,NP3GAIT_COMBINED_MAX,3.435979660097602e-05,0.01640354607117897,2,Gait (MDS-UPDRS Part III)
two_stage_system,macro_f1,NP3PSTBL_COMBINED_MAX,0.0008054905767105033,0.013482056689657965,3,Postural stability (MDS-UPDRS Part III)
two_stage_system,macro_f1,NP3TOT_COMBINED_MAX,-0.004648811559430614,0.0068078863673724,1,MDS-UPDRS Part III motor total
two_stage_system,macro_f1,SCAU14,-0.00032526330292840524,0.013061831280548837,2,Lightheadedness on standing up (SCOPA-AUT)
two_stage_system,macro_f1,SCAU16,-8.679201179273791e-05,0.002316055023730497,2,Fainting in preceding six months (SCOPA-AUT)
two_stage_system,macro_f1,Years_since_PD_diagnosis,0.014749864461395607,0.017713496965021943,4,Years since PD diagnosis
two_stage_system,rare_fall_recall,ANYFAMPD,-0.0020193236714975923,0.03336720955910679,2,Family history of PD
two_stage_system,rare_fall_recall,Age,0.016396135265700475,0.017626681470078228,4,Age
two_stage_system,rare_fall_recall,BMI,0.0,0.0,0,Body mass index
two_stage_system,rare_fall_recall,DOMSIDE,0.0007632850241545786,0.018490504610868392,2,Dominant side at diagnosis
two_stage_system,rare_fall_recall,DOPTHERST,-0.010512077294685998,0.010531323405289885,1,Dopaminergic therapy started
two_stage_system,rare_fall_recall,DXBRADY,0.0009178743961352588,0.00635958733672039,1,Bradykinesia at diagnosis
two_stage_system,rare_fall_recall,DXPOSINS,0.0,0.0,0,Postural instability at diagnosis
two_stage_system,rare_fall_recall,DXRIGID,-0.0017777777777777815,0.0039752319599996346,0,Rigidity at diagnosis
two_stage_system,rare_fall_recall,DXTREMOR,0.0,0.0,0,Tremor at diagnosis
two_stage_system,rare_fall_recall,FEATPOSHYP,-0.018463768115942046,0.015459329705161983,0,Symptomatic orthostatic hypotension documented
two_stage_system,rare_fall_recall,GDS_TOTAL,-0.0026473429951690904,0.004719784512331417,1,Geriatric Depression Scale total
two_stage_system,rare_fall_recall,GROUP_FREEZING_FORM,-0.01925603864734301,0.03356260158513909,1,"Freezing of gait, preceding 12 months"
two_stage_system,rare_fall_recall,GROUP_NEUROQOL_FORM,0.0026183574879226888,0.0475046338562024,3,Neuro-QoL Gaussian mobility score (8 items)
two_stage_system,rare_fall_recall,GROUP_PART_IV_FORM,-0.017082125603864746,0.025931379888620588,1,MDS-UPDRS Part IV total (motor complications)
two_stage_system,rare_fall_recall,MCATOT,-0.002270531400966189,0.012304813459340935,1,MoCA total (cognition)
two_stage_system,rare_fall_recall,NHY_COMBINED_MAX,-0.019787439613526584,0.017987291989287616,1,Hoehn and Yahr stage
two_stage_system,rare_fall_recall,NP1CNST,0.02251207729468598,0.016453087869629558,5,Constipation
two_stage_system,rare_fall_recall,NP1RTOT,-0.01405797101449276,0.016370967848555663,1,MDS-UPDRS Part I rater total
two_stage_system,rare_fall_recall,NP1SLPD,0.0004444444444444373,0.0024343224778007296,1,Daytime sleepiness
two_stage_system,rare_fall_recall,NP1URIN,0.006193236714975835,0.008236424548976128,4,Urinary problems
two_stage_system,rare_fall_recall,NP3GAIT_COMBINED_MAX,-0.014096618357487939,0.010745855322584773,1,Gait (MDS-UPDRS Part III)
two_stage_system,rare_fall_recall,NP3PSTBL_COMBINED_MAX,-0.01454106280193238,0.045567823308108504,2,Postural stability (MDS-UPDRS Part III)
two_stage_system,rare_fall_recall,NP3TOT_COMBINED_MAX,0.0007922705314009505,0.011288264292309926,3,MDS-UPDRS Part III motor total
two_stage_system,rare_fall_recall,SCAU14,-0.007478260869565224,0.008808672390401973,1,Lightheadedness on standing up (SCOPA-AUT)
two_stage_system,rare_fall_recall,SCAU16,-0.0008599033816425116,0.0033081030728191233,1,Fainting in preceding six months (SCOPA-AUT)
two_stage_system,rare_fall_recall,Years_since_PD_diagnosis,-0.013053140096618376,0.02697068178643452,1,Years since PD diagnosis
